id_cliente;nombres;apellidos;tipo_documento;numero_documento;ciudad;departamento;telefono;correo;fecha_registro;segmento;frecuencia_compra; ticket_promedio ;estado
CLI001;Luis;Ramírez García;CC;36735830;Manizales;Caldas;3178204212;luis.ramírez@ferremail.com;10/04/2025;Hogar;Baja;349.365;Activo
CLI002;Pedro;Ramírez Pérez;CC;108750923;Pereira;Risaralda;3156743066;pedro.ramírez@ferremail.com;28/02/2025;Hogar;Baja;85.725;Activo
CLI003;Claudia;Martínez Sánchez;NIT;75285250;Medellín;Antioquia;3123663046;claudia.martínez@ferremail.com;21/01/2025;Hogar;Media;685.987;Activo
CLI004;Luis;Rodríguez Torres;CC;62157313;Armenia;Quindío;3163669995;luis.rodríguez@ferremail.com;21/09/2025;Hogar;Media;480.337;Activo
CLI005;Paula;Rodríguez Pérez;CC;32335235;Bogotá;Cundinamarca;3118281369;paula.rodríguez@ferremail.com;13/02/2025;Constructor;Media;643.587;Activo
CLI006;Claudia;Ramírez Sánchez;CC;65105831;Medellín;Antioquia;3113704238;claudia.ramírez@ferremail.com;22/02/2025;Profesional;Alta;762.139;Activo
CLI007;Paula;Torres Gómez;CC;83665032;Santa Rosa de Cabal;Risaralda;3177940119;paula.torres@ferremail.com;4/03/2025;Constructor;Alta;708.519;Activo
CLI008;Carlos;Gómez García;NIT;105000616;Armenia;Quindío;3161996107;carlos.gómez@ferremail.com;22/02/2026;Hogar;Baja;621.661;Activo
CLI009;Diana;Martínez Ramírez;CC;24881728;Manizales;Caldas;3146401218;diana.martínez@ferremail.com;14/09/2025;Profesional;Baja;635.270;Activo
CLI010;Juan;Martínez Sánchez;CC;13331068;Armenia;Quindío;3141973548;juan.martínez@ferremail.com;23/05/2025;Profesional;Alta;344.767;Activo
CLI011;Carlos;Martínez Pérez;CC;71777469;Santa Rosa de Cabal;Risaralda;3142575557;carlos.martínez@ferremail.com;11/10/2025;Constructor;Media;172.906;Activo
CLI012;Ana;Sánchez Torres;CC;80016224;Santa Rosa de Cabal;Risaralda;3186697469;ana.sánchez@ferremail.com;1/05/2025;Constructor;Alta;422.690;Activo
CLI013;Santiago;Ramírez Torres;CC;31200096;Manizales;Caldas;3177457294;santiago.ramírez@ferremail.com;11/11/2025;Hogar;Alta;138.451;Activo
CLI014;Santiago;Gómez López;CC;47814054;Pereira;Risaralda;3121416880;santiago.gómez@ferremail.com;11/04/2025;Hogar;Alta;790.746;Activo
CLI015;Pedro;Rodríguez Pérez;CC;15674719;Santa Rosa de Cabal;Risaralda;3106500306;pedro.rodríguez@ferremail.com;6/05/2025;Hogar;Media;255.167;Activo
CLI016;Martha;Sánchez López;CC;91121402;Santa Rosa de Cabal;Risaralda;3153558231;martha.sánchez@ferremail.com;21/11/2025;Profesional;Media;633.333;Activo
CLI017;Diego;Gómez Torres;CC;45703247;Medellín;Antioquia;3125506259;diego.gómez@ferremail.com;9/09/2025;Profesional;Baja;579.042;Activo
CLI018;Carlos;López Sánchez;CC;24764960;Pereira;Risaralda;3174445376;carlos.lópez@ferremail.com;24/09/2025;Hogar;Alta;394.705;Activo
CLI019;Diego;Martínez Sánchez;CC;30281689;Santa Rosa de Cabal;Risaralda;3131686976;diego.martínez@ferremail.com;31/10/2025;Constructor;Alta;137.796;Activo
CLI020;Luisa;Sánchez Torres;CC;65223954;Manizales;Caldas;3132579159;luisa.sánchez@ferremail.com;23/02/2025;Profesional;Baja;398.480;Activo
CLI021;Paula;Pérez Ramírez;CC;49501026;Bogotá;Cundinamarca;3185327576;paula.pérez@ferremail.com;15/12/2025;Hogar;Media;663.409;Activo
CLI022;Sandra;Martínez Torres;CC;87633091;Santa Rosa de Cabal;Risaralda;3142707923;sandra.martínez@ferremail.com;19/01/2026;Profesional;Baja;630.704;Activo
CLI023;María;Martínez Pérez;CC;28298917;Bogotá;Cundinamarca;3127105525;maría.martínez@ferremail.com;21/09/2025;Profesional;Media;380.032;Activo
CLI024;Claudia;Gómez García;CC;50820227;Manizales;Caldas;3103727423;claudia.gómez@ferremail.com;17/01/2025;Constructor;Media;325.628;Activo
CLI025;Diana;Pérez Martínez;CC;76880548;Medellín;Antioquia;3109519981;diana.pérez@ferremail.com;30/06/2025;Profesional;Alta;668.307;Activo
CLI026;Andrés;García Sánchez;CC;80995266;Pereira;Risaralda;3181688105;andrés.garcía@ferremail.com;11/08/2025;Constructor;Baja;465.101;Activo
CLI027;Ana;Pérez Sánchez;CC;88725274;Pereira;Risaralda;3115353127;ana.pérez@ferremail.com;21/02/2026;Hogar;Media;518.863;Activo
CLI028;Andrés;Sánchez Martínez;CC;86294551;Medellín;Antioquia;3167512440;andrés.sánchez@ferremail.com;5/02/2025;Profesional;Alta;621.863;Activo
CLI029;Sandra;Martínez Sánchez;CC;80286689;Pereira;Risaralda;3161649150;sandra.martínez@ferremail.com;8/12/2025;Hogar;Media;725.086;Activo
CLI030;Diana;Pérez Pérez;CC;42576169;Bogotá;Cundinamarca;3159272874;diana.pérez@ferremail.com;20/03/2026;Hogar;Alta;271.451;Activo
CLI031;Paula;García Sánchez;CC;97753580;Armenia;Quindío;3124054390;paula.garcía@ferremail.com;28/02/2026;Profesional;Alta;253.841;Activo
CLI032;Ana;Martínez Gómez;CC;16319707;Pereira;Risaralda;3164695961;ana.martínez@ferremail.com;17/08/2025;Hogar;Media;203.062;Activo
CLI033;Juan;García Gómez;CC;10803328;Pereira;Risaralda;3151176615;juan.garcía@ferremail.com;25/08/2025;Hogar;Alta;466.438;Activo
CLI034;Claudia;García Pérez;CC;80721474;Armenia;Quindío;3121144356;claudia.garcía@ferremail.com;27/03/2025;Hogar;Media;29.435;Activo
CLI035;Diego;Gómez López;CC;83706383;Pereira;Risaralda;3144502630;diego.gómez@ferremail.com;10/04/2025;Hogar;Media;515.972;Activo
CLI036;Pedro;Pérez García;CC;56787763;Pereira;Risaralda;3125466271;pedro.pérez@ferremail.com;14/09/2025;Profesional;Alta;417.827;Activo
CLI037;Martha;Sánchez Rodríguez;CC;109967871;Manizales;Caldas;3136392023;martha.sánchez@ferremail.com;31/01/2026;Hogar;Alta;24.000;Activo
CLI038;Carlos;García Martínez;CC;92396202;Armenia;Quindío;3113976242;carlos.garcía@ferremail.com;30/08/2025;Profesional;Alta;569.639;Activo
CLI039;Pedro;Rodríguez Martínez;CC;33151417;Medellín;Antioquia;3111157164;pedro.rodríguez@ferremail.com;16/03/2025;Constructor;Alta;80.692;Activo
CLI040;Juan;López García;CC;67658082;Santa Rosa de Cabal;Risaralda;3124970001;juan.lópez@ferremail.com;12/05/2026;Profesional;Baja;420.573;Activo
CLI041;Diana;Gómez Sánchez;CC;29511512;Manizales;Caldas;3181898320;diana.gómez@ferremail.com;4/01/2026;Profesional;Alta;139.180;Activo
CLI042;Carlos;Gómez López;CC;24573458;Armenia;Quindío;3184621581;carlos.gómez@ferremail.com;11/08/2025;Constructor;Baja;474.137;Activo
CLI043;Fernando;García García;CC;79426200;Armenia;Quindío;3144788340;fernando.garcía@ferremail.com;31/05/2025;Profesional;Baja;628.364;Activo
CLI044;Pedro;Sánchez García;CC;72989020;Manizales;Caldas;3113276360;pedro.sánchez@ferremail.com;15/03/2025;Constructor;Alta;228.124;Activo
CLI045;Claudia;Ramírez Torres;CC;90497273;Pereira;Risaralda;3147903836;claudia.ramírez@ferremail.com;14/06/2025;Hogar;Alta;177.504;Activo
CLI046;Paula;Gómez Sánchez;NIT;24509187;Armenia;Quindío;3155939003;paula.gómez@ferremail.com;19/02/2026;Hogar;Media;46.790;Activo
CLI047;Pedro;Martínez Sánchez;CC;25814828;Medellín;Antioquia;3115984445;pedro.martínez@ferremail.com;27/02/2025;Profesional;Alta;176.542;Activo
CLI048;Diego;Gómez Martínez;CC;48503931;Santa Rosa de Cabal;Risaralda;3187062903;diego.gómez@ferremail.com;21/02/2026;Hogar;Media;480.857;Activo
CLI049;Diana;García Pérez;NIT;65257851;Medellín;Antioquia;3131423570;diana.garcía@ferremail.com;20/01/2025;Hogar;Baja;37.640;Activo
CLI050;Santiago;Gómez García;CC;49521538;Santa Rosa de Cabal;Risaralda;3176528983;santiago.gómez@ferremail.com;5/06/2025;Hogar;Media;590.715;Activo
CLI051;Ana;Ramírez Rodríguez;CC;81275364;Santa Rosa de Cabal;Risaralda;3138884479;ana.ramírez@ferremail.com;15/02/2026;Profesional;Alta;337.428;Activo
CLI052;Diana;Martínez Pérez;NIT;39933823;Medellín;Antioquia;3182178049;diana.martínez@ferremail.com;10/01/2025;Constructor;Media;338.714;Activo
CLI053;Andrés;Sánchez Ramírez;CC;59907857;Santa Rosa de Cabal;Risaralda;3149523838;andrés.sánchez@ferremail.com;5/08/2025;Constructor;Baja;171.456;Activo
CLI054;María;Martínez Gómez;CC;65229238;Bogotá;Cundinamarca;3103332517;maría.martínez@ferremail.com;16/09/2025;Profesional;Alta;220.244;Activo
CLI055;Pedro;Martínez Gómez;CC;85356616;Bogotá;Cundinamarca;3104977266;pedro.martínez@ferremail.com;22/06/2025;Profesional;Media;221.152;Activo
CLI056;Fernando;Rodríguez Ramírez;CC;97220897;Bogotá;Cundinamarca;3153715514;fernando.rodríguez@ferremail.com;2/11/2025;Constructor;Media;651.172;Activo
CLI057;Sandra;Torres Gómez;CC;71356950;Medellín;Antioquia;3145100673;sandra.torres@ferremail.com;16/03/2025;Hogar;Media;347.359;Activo
CLI058;Ana;Pérez Rodríguez;CC;84062621;Manizales;Caldas;3128795134;ana.pérez@ferremail.com;27/04/2026;Hogar;Media;324.462;Activo
